model,config,smote,merge,split_seed,init_seed,n_test_subjects,k_correct,subject_acc,subject_acc_ci_low,subject_acc_ci_high,subject_f1_macro,subject_auc_ovr_macro
Hubert,last3,True,True,42,9,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9666666666666667
Hubert,last3,True,True,42,10,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.937037037037037
Hubert,last3,True,True,42,11,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9555555555555556
Hubert,last3,True,True,42,12,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9481481481481482
Hubert,last3,True,True,42,13,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9666666666666667
Hubert,last3,True,True,42,14,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9481481481481482
Hubert,last3,True,True,42,15,13,10,0.7692307692307693,0.49743624053272506,0.9182047128150144,0.7555555555555555,0.9685185185185187
Hubert,last3,True,True,42,16,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9574074074074074
Hubert,last3,True,True,42,17,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9555555555555556
Hubert,last3,True,True,42,18,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.937037037037037
Hubert,last3,True,True,42,19,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9666666666666667
Hubert,last3,True,True,42,20,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9462962962962963
Hubert,last3,True,True,42,21,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9666666666666667
Hubert,last3,True,True,42,22,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9777777777777779
Hubert,last3,True,True,42,23,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9574074074074074
Hubert,last3,True,True,42,24,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9574074074074074
Hubert,last3,True,True,42,25,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9685185185185187
Hubert,last3,True,True,42,26,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9666666666666667
Hubert,last3,True,True,42,27,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9462962962962963
Hubert,last3,True,True,42,28,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9574074074074074
Hubert,last3,True,True,42,29,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8215488215488215,0.9777777777777779
Hubert,middle3,True,True,42,0,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9220779220779222,0.9888888888888889
