utt_type,do_downsample,do_smote,split_seed,init_seed,test_acc,macro_f1,macro_auc,subject_acc,subject_f1,subject_auc
W,True,True,42,16,0.8319444544613361,0.8269188708200966,0.9514554398148148,1.0,1.0,1.0
W,True,True,42,17,0.8381944540888071,0.8366595399475352,0.9657747395833334,1.0,1.0,1.0
W,True,True,42,18,0.8284722324460745,0.8236692611215647,0.959740306712963,1.0,1.0,1.0
W,True,True,42,19,0.8395833428949118,0.8358424312937006,0.9553464988425926,1.0,1.0,1.0
W,True,True,42,20,0.8347222320735455,0.8336833133862837,0.9539040798611111,1.0,1.0,1.0
W,True,True,42,21,0.8368055652827024,0.8347571612500116,0.954349681712963,1.0,1.0,1.0
W,True,True,42,22,0.8465277869254351,0.8433611433729231,0.9576070601851852,1.0,1.0,1.0
W,True,True,42,23,0.8166666775941849,0.8117331821167015,0.943013599537037,1.0,1.0,1.0
W,True,True,42,24,0.8270833436399698,0.8240776352931709,0.9588997395833333,1.0,1.0,1.0
W,True,True,42,25,0.8250000104308128,0.819165621568334,0.9544155092592593,0.9230769230769231,0.8962962962962964,1.0
W,True,True,42,26,0.8430555649101734,0.8419482398064556,0.9653841145833333,1.0,1.0,1.0
W,True,True,42,27,0.8451388981193304,0.8435267193173273,0.9587311921296297,0.9230769230769231,0.8962962962962964,1.0
W,True,True,42,28,0.8638888970017433,0.8619391594546874,0.9577539062499999,1.0,1.0,1.0
W,True,True,42,29,0.8388888984918594,0.8355300637327584,0.9505494068287037,0.9230769230769231,0.8962962962962964,1.0
